Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZAR02;ZAR CAEN;FR21019;IFS Caen sud;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;32.6;32.6;µg-m3;100.0;100;100.0;A;1;49.15167;-0.352778
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21031;Alençon Météo-France;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;42.7;42.7;µg-m3;100.0;100;100.0;A;1;48.445553;0.110833
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21038;Cherbourg Hotel de Ville;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;50.0;49.975;µg-m3;100.0;100;100.0;R;1;49.64225;-1.624361
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21040;Saint-Lô Eglise;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;47.5;47.5;µg-m3;95.0;100;95.0;R;1;49.11639;-1.084722
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21050;La Coulonche MERA;Rurale nationale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.5;77.525;µg-m3;100.0;100;100.0;A;1;48.645;-0.458333
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR22054;Station de FORBACH;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;31.3;31.25;µg-m3;100.0;100;100.0;A;1;49.18742;6.910867
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO SUD;FR93ZAG02;ZAG NICE;FR24007;ANTIBES JEAN MOULIN;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.7;77.7;µg-m3;100.0;100;100.0;R;1;43.598803;7.093153
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO SUD;FR93ZAG02;ZAG NICE;FR24009;CANNES BROUSSAILLES;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;79.0;78.95;µg-m3;100.0;100;100.0;R;1;43.558389;7.005919
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO SUD;FR93ZAG02;ZAG NICE;FR24011;NICE OUEST BOTANIQUE;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.7;76.7;µg-m3;100.0;100;100.0;R;1;43.685188;7.211174
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR24014;CIANS;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;97.4;97.35;µg-m3;100.0;100;100.0;R;1;44.094688;6.988978
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR24018;MANOSQUE;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;61.5;61.525;µg-m3;100.0;100;100.0;R;1;43.835784;5.786131
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR24033;GAP COMMANDERIE;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;59.8;59.8;µg-m3;100.0;100;100.0;R;1;44.555193;6.073015
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO SUD;FR93ZAG02;ZAG NICE;FR24036;NICE ARSON;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.9;76.9;µg-m3;100.0;100;100.0;R;1;43.702075;7.286256
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR24039;Obs Haute-Provence;Rurale près des villes;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.7;77.65;µg-m3;100.0;100;100.0;R;1;43.933476;5.711809
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;23.5;23.5;µg-m3;100.0;100;100.0;A;1;49.442358;1.093789
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25039;Evreux Centre;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;4.4;4.36667;µg-m3;5.0;100;5.0;N;-1;49.02134;1.148319
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25040;Mesnil Esnard;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;55.6;55.575;µg-m3;100.0;100;100.0;A;1;49.40619;1.15515
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25043;Centre Hospitalier;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;36.6;36.625;µg-m3;100.0;100;100.0;A;1;49.4005;1.099042
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25049;Base loisirs Poses;Rurale près des villes;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;25.9;25.875;µg-m3;100.0;100;100.0;A;1;49.30487;1.214367
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25050;Bures-en-bray;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;51.3;51.25;µg-m3;100.0;100;100.0;A;1;49.78122;1.345083
